"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"338","RT @meme___mom: Living Room Routine!

The Perks of Being a Wallflower (2012) https://t.co/8SR8PtPWdc",FALSE,0,NA,2017-04-21 02:10:08,FALSE,NA,"855242216729608192",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","slightlygaymami",44,TRUE,FALSE,NA,NA
"339","I cry literally every single time I watch perks of being a wallflower and is hands down one of the best movies",FALSE,1,NA,2017-04-21 02:09:46,FALSE,NA,"855242122894684162",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","marilyn_bugl",0,FALSE,FALSE,NA,NA
"340","RT @beaufilms: The Perks of Being a Wallflower (2012) https://t.co/tGi24YroiH",FALSE,0,NA,2017-04-21 02:08:12,FALSE,NA,"855241727233359872",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","loveforcamilita",351,TRUE,FALSE,NA,NA
"341","@misterwiggly @SchmoesKnow That only leaves us in suspense for your thoughts on The Perks of Being a Wallflower!",FALSE,0,"misterwiggly",2017-04-21 02:05:34,FALSE,"855203203733782528","855241066005626880","80992126","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","adamj_film",0,FALSE,FALSE,NA,NA
"342","""are we watching perks of being a wallflower?""
""...this is superbad""",FALSE,11,NA,2017-04-21 02:05:25,FALSE,NA,"855241029410201600",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","heatherzal",1,FALSE,FALSE,NA,NA
"343","I'm watching my fav movie The Perks of Being A Wallflower while doing homework, my life couldn't be better",FALSE,0,NA,2017-04-21 02:01:03,FALSE,NA,"855239929621880832",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TanVasquez_",0,FALSE,FALSE,NA,NA
"344","RT @meme___mom: Living Room Routine!

The Perks of Being a Wallflower (2012) https://t.co/8SR8PtPWdc",FALSE,0,NA,2017-04-21 01:59:08,FALSE,NA,"855239445926248448",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mvrivnvsofiv",44,TRUE,FALSE,NA,NA
"345","13% done with The Perks of Being a Wallflower, by Stephen Chbosky https://t.co/MG59IYblDW",FALSE,0,NA,2017-04-21 01:57:25,FALSE,NA,"855239016718925825",NA,"<a href=""http://www.goodreads.com"" rel=""nofollow"">Goodreads</a>","livresaddicted",0,FALSE,FALSE,NA,NA
"346","RT @Moviepicts: The Perks of Being a Wallflower (2012) https://t.co/FpigoAzzXD",FALSE,0,NA,2017-04-21 01:56:35,FALSE,NA,"855238805795868674",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","sheabarbuto",1448,TRUE,FALSE,NA,NA
"347","RT @meme___mom: Living Room Routine!

The Perks of Being a Wallflower (2012) https://t.co/8SR8PtPWdc",FALSE,0,NA,2017-04-21 01:55:41,FALSE,NA,"855238577109729280",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lmaoseli",44,TRUE,FALSE,NA,NA
